"AZIENDA ULSS";"ID_Unita";"Provincia ";"Comune";"Categoria                
";"Tipologia";"Descrizione materiali";"A - Friabilita";" B - Uso pubblico";" C - Accessibilita";" D - Presenza di confinamento";" I1 - Quantita di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";" I2 -
Presenza di un programma di manutenzione e controllo ";" I3 - Attivita";" I4 - 
Presenza di cause che creano o favoriscono la dispersione di fibre";" I5 - Concentrazione di fibre aerodisperse (ff/l) ";" I6 - 
Area di estensione del sito (m2)";"? Effettiva area ricompresa nel perimetro del sito  (m2)";" I7 - 
Superficie esposta allaaria (m2)";" Effettiva superficie con amianto friabile  (m2)";" Effettiva superficie con amianto compatto (m2)";" I8 - Coinvolgimento del sito in lavori di urbanizzazione";" I9 - 
Stato di conservazione delle strutture edili";" I10 - 
Tempo trascorso dalla dismissione (anni)";"Data dismissione
(gg-mm-aaa)";" I11 - 
Tipologia di amianto presente";" I12 - 
Dati epidemiologici";" I13 - 
Frequenza di utilizzo";" I14 - 
Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";" I15 - 
Densita di popolazione ";" I16 - 
Eta media dei soggetti frequentatori (anni)";"Stato della bonifica ";"Tipo di intervento ";"Costi Totali stimati dell'intervento (a)";"Fondi locali/regionali assegnati (a)";"Stima dei fabbisogni finanziari (a)";"Classe di priorita";"Coefficiente di priorita";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
1;1;"BELLUNO";"longarone";1;"edificio artigianale";"lastre ondulate";1,00;1,00;1,00;2,50;10,00;0,00;9560,00;10,00;1,00;1,00;2,00;5,00;1000,00;8,00;"0";"560";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";2,00;2,00;"a";"c";5600,00;;;4,00;0,40;220,80;292150,641;5125801,4
1;2;"BELLUNO";"castello lavazzo";1;"edificio artigianale";"lastre piane";1,00;1,00;1,00;2,50;10,00;0,00;2805,00;1,00;1,00;1,00;2,00;5,00;300,00;5,00;"0";"165";1,00;5,00;1,00;;1,00;1,00;5,00;3,00;"0,5";2,00;2,00;"a";"c";2000,00;;;4,00;0,40;150,60;297460,91;5128098,32
1;3;"BELLUNO";"longarone";1;"edificio industriale";"intonaco di ricopertura trave";1,00;1,00;1,00;2,50;5,00;10,00;0,00;1,00;1,00;1,00;2,00;3,00;200,00;5,00;"5";"0";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"4";2,00;2,00;"a";"c";"1000";;;4,00;0,40;140,40;285040,38;5113642,58
1;4;"BELLUNO";"longarone";1;"edificio industriale";"lastre di controsoffitto e cupolini";1,00;1,00;2,50;2,50;15,00;0,00;23800,00;1,00;1,00;1,00;2,00;5,00;2000,00;8,00;"0";"1000";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1";2,00;2,00;"a";"c";"10000";;;3,00;0,70;497,70;292191,69;5125502,96
1;5;"BELLUNO";"longarone";1;"edificio artigianale";"lastre ondulate";1,00;1,00;2,50;2,50;10,00;0,00;2210,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"0";"130";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"2";2,00;2,00;"a";"c";"5000";;;3,00;0,70;423,15;292191,69;5125502,96
1;6;"BELLUNO";"longarone";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;2,50;10,00;0,00;9350,00;1,00;1,00;1,00;2,00;5,00;2000,00;8,00;"0";"550";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1,5";2,00;2,00;"a";"c";"5500";;;4,00;0,40;182,40;292191,69;5125502,96
1;7;"BELLUNO";"longarone";1;"edificio industriale";"guarnizioni e pannelli";2,00;1,00;1,00;2,50;5,00;5,00;30,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"2,5";"2";1,00;5,00;1,00;" ";1,00;1,00;20,00;1,00;"2";2,00;2,00;"a";"c";"5000";;;4,00;0,40;158,40;292191,69;5125502,96
1;8;"BELLUNO";"longarone";1;"edificio industriale";"lastre";1,00;1,00;1,00;1,00;15,00;0,00;247520,00;1,00;1,00;1,00;2,00;9,00;15000,00;10,00;"0";"14560";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"2";2,00;2,00;"b";"c";"150000";;;5,00;0,30;121,50;292191,69;5125502,96
1;9;"BELLUNO";"ponte nelle alpi";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;1,00;10,00;0,00;4845,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"0";"285";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";2,00;2,00;"c";"b";"1500";;;5,00;0,30;103,50;290630,32;5119265,58
1;10;"BELLUNO";"pieve d'alpago";1;"edificio industriale";"lastre";1,00;1,00;1,00;1,00;15,00;0,00;80000,00;1,00;1,00;1,00;2,00;9,00;8000,00;10,00;"0";"4700";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1";2,00;2,00;"a";"c";"47000";;;5,00;0,30;121,50;0;0
1;11;"BELLUNO";"limana";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;2,50;15,00;0,00;14535,00;10,00;3,00;1,00;2,00;5,00;900,00;8,00;"0";"855";1,00;5,00;7,00;;1,00;1,00;5,00;1,00;"1";2,00;2,00;"a";"c";"9000";;;4,00;0,40;339,00;282550,4;5109440,33
1;12;"BELLUNO";"ponte nelle alpi";1;"edificio industriale";"lastre";1,00;1,00;1,00;2,50;10,00;0,00;7565,00;1,00;3,00;1,00;2,00;5,00;1000,00;5,00;"0";"445";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"0,5";2,00;2,00;"a";"c";"5000";;;4,00;0,40;311,00;290598,82;5118584,27
1;13;"BELLUNO";"belluno";1;"edificio artigianale";"lastre";1,00;1,00;1,00;2,50;10,00;0,00;6086,00;1,00;1,00;1,00;2,00;5,00;400,00;5,00;"0";"358";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";2,00;2,00;"a";"c";"4000";;;4,00;0,40;186,60;286382,78;5115029,27
1;14;"BELLUNO";"belluno";2;"ospedale";"lastre, serbatoi, linoleum, pannelli";1,00;2,50;1,00;2,50;15,00;2210,00;21600,00;1,00;1,00;1,00;2,00;9,00;10000,00;8,00;"7";"1100";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";4,00;10,00;"a";"c";"20000";;;4,00;0,40;384,00;283701,78;5112999,05
1;15;"BELLUNO";"ospitale di cadore";1;"edificio industriale";"pannelli e tubazioni";1,00;1,00;1,00;2,50;15,00;0,00;6800,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"0";"400";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"0,5";2,00;2,00;"a";"c";"5000";;;4,00;0,40;207,60;285040,38;5113642,58
1;16;"BELLUNO";"belluno";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;1,00;15,00;0,00;15000,00;1,00;1,00;1,00;2,00;5,00;3000,00;8,00;"0";"1000";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"2";2,00;2,00;"a";"c";"10000";;;5,00;0,30;117,90;288106,958;5116841,889
1;17;"BELLUNO";"longarone";1;"edificio industriale";"lastre";1,00;1,00;1,00;1,00;15,00;0,00;46400,00;1,00;1,00;1,00;2,00;9,00;2400,00;8,00;"0";"2730";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"2";2,00;2,00;"a";"c";"27000";;;5,00;0,30;117,90;292191,69;5125502,96
1;18;"BELLUNO";"soverzene";1;"edificio artigianale";"lastre";1,00;1,00;1,00;1,00;10,00;0,00;4590,00;1,00;1,00;1,00;2,00;3,00;270,00;5,00;"0";"270";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"0,5";2,00;2,00;"b";"c";"2700";;;5,00;0,30;99,90;291906,36;5120945,29
1;19;"BELLUNO";"Forno di Zoldo";2;"banca";"guarnizioni di flangia ";2;2,5;1;2,5;5;2;0;1;1;1;2;5;1000;5;10;0;1;5;1;;1;1;20;5;0;4;10;"a";"c";;;;2;0,8;729,60;282805,852;5136358,442
1;20;"BELLUNO";"Pieve di cadore";2;"banca";"guarnizioni e tubazioni";2;2,5;1;2,5;5;200;0;1;1;1;2;5;1000;5;20;0;1;5;1;;1;1;20;5;0;4;10;"a";"c";;;;2;0,8;729,60;298323,147;5145010,066
1;21;"BELLUNO";"Cencenighe";2;"PANIFICIO";"guarnizioni  ";2;2,5;2,5;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;20;5;0;4;10;"a";"c";;;;2;0,8;862,80;728338,192;5137539,789
1;22;"BELLUNO";"limana";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;20;5;0;4;10;"a";"c";;;;5;0,3;176,40;281368,545;5108572,673
1;23;"BELLUNO";"CASTELLAVAZZO";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;20;5;0;4;10;"a";"c";;;;5;0,3;176,40;285040,377;5113642,581
1;24;"BELLUNO";"Voltago Agordino";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;729983,319;5126636,338
1;25;"BELLUNO";"ponte nelle alpi";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;290050,721;5118262,175
1;26;"BELLUNO";"zoldo alto ";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;279063,243;5139763,489
1;27;"BELLUNO";"comelico superiore";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;307905,323;5163619,564
1;28;"BELLUNO";"tambre";2;"PANIFICIO";"materiale di coibentazione";1;1;1;2,5;5;50;0;1;1;1;2;3;500;5;10;0;1;5;1;;3;1;1;5;0;4;10;"a";"c";;;;5;0,3;146,70;299876,888;6113673,052
1;29;"BELLUNO";"FARRA D'ALPAGO";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;299893,945;5113661,073
1;30;"BELLUNO";"ponte nelle alpivia roma,45";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;295607,257;5116115,383
1;31;"BELLUNO";"santo stefano di cadore";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;312181,128;5158966,979
1;32;"BELLUNO";"GOSALDO";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;727969,191;5122924,853
1;33;"BELLUNO";"DOMEGGE DI CADORE";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;301581,887;5148295,319
1;34;"BELLUNO";"FARRA D'ALPAGO";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;295799,125;5111132,342
1;35;"BELLUNO";"PIEVE D'ALPAGO";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;285040,377;5113642,581
1;36;"BELLUNO";"SELVA DI CADORE";2;"PANIFICIO";"guarnizioni  ";1;1;1;2,5;5;10;0;1;1;1;2;3;500;5;10;0;1;5;1;;1;1;1;5;0;4;10;"a";"c";;;;5;0,3;142,20;274403,238;5147526,532
1;37;"BELLUNO";"PONTE NELLE ALPI";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;1;2,5;10;0;60000;1;3;1;2;5;4000;8;0;4000;1;5;1;04-07-2011;1;1;5;5;0;4;10;"A";;0;0;0;4;0,4;552;753197,26;5119221,454
1;38;"BELLUNO";"PUOS D'ALPAGO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;1;5;0;196;1;1;1;2;3;2228;5;0;56;3;5;1;;1;1;20;5;0;4;2;"B";"B";4145;0;0;5;0,3;238,05;759564,806;5115137,441
1;39;"BELLUNO";"PONTE NELLE ALPI";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;1;10;0;1239;10;1;1;2;5;750;5;0;354;1;5;0;;1;1;20;5;0;4;10;"B";"B";15000;0;0;5;0,3;316,8;755630,446;5118914,111
1;40;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;1;2,5;2,5;10;0;740;1;1;1;2;3;462;5;0;211;1;5;1;;1;1;20;5;0;4;10;"A";"B";0;0;0;3;0,7;599,55;749025,254;5116488,626
1;41;"BELLUNO";"VIGO DI CADORE";2;"Scuole di ogni ordine e grado";"Tubi, canalizzazioni e contenitori per trasporto e stoccaggio fluidi, ad uso civile e industriale (materiale coibente)";1;2,5;2,5;2,5;10;0;2000;10;1;1;2;5;2200;5;0;100;1;5;1;20-10-2011;1;1;20;5;0;4;10;"A";"B";1000;0;0;2;0,8;1000,8;766443,681;5155611,035
1;42;"BELLUNO";"VIGO DI CADORE";2;"Scuole di ogni ordine e grado";"Tubi, canalizzazioni e contenitori per trasporto e stoccaggio fluidi, ad uso civile e industriale (materiale coibente)";1;2,5;2,5;2,5;5;0;200;10;3;1;2;5;750;5;0;10;3;5;7;30-06-1980;1;1;5;5;0;4;2;"A";"C";2000;0;0;2;0,8;1200;766992,613;5155065,699
1;43;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;600;10;1;1;2;5;1000;8;0;500;1;5;1;;1;1;20;5;0;4;10;"A";;20000;0;0;2;0,8;1036,8;691095,06;5044434,756
1;44;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;1;2,5;2,5;10;0;1455;1;1;1;2;5;950;5;0;415;1;5;1;;1;1;20;5;0;4;10;"A";;0;0;0;3;0,7;614,25;724545,311;5100322,367
1;45;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici; piastrelle 25x25 grige e rosse (a scacchi)";1;2,5;2,5;2,5;5;0;200;10;1;1;2;5;3000;5;0;100;1;5;1;;1;1;20;5;0;4;10;"A";"C";10000;0;0;2;0,8;940,8;690487,874;5044364,005
1;46;"BELLUNO";"PONTE NELLE ALPI";2;"Uffici pubblica amministrazione";"Pavimenti vinilici; piastrelle di dimensioni 25x25 di colore grigio amianto al 23%";1;2,5;2,5;2,5;5;0;300;10;1;1;2;3;100;5;0;100;1;30;1;;1;1;20;5;0;4;2;"A";;10000;0;0;2;0,8;1128;688421,832;5046275,279
1;47;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici; piastrelle di vario colore contenenti amianto sino al 5,5%";1;2,5;2,5;2,5;10;0;1500;1;1;1;2;5;1000;8;0;1000;1;5;1;;1;1;20;5;0;4;2;"A";;50000;0;0;2;0,8;865,2;753528,534;4990933,716
1;48;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici; Contengono amianto i pavimenti del primo e secondo piano";1;2,5;2,5;2,5;10;0;1500;10;1;1;2;5;500;5;0;500;1;5;1;;1;1;20;5;0;4;2;"A";;100000;0;0;2;0,8;904,8;725861,569;5029103,829
1;49;"BELLUNO";"SANTO STEFANO DI CADORE";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;2,5;5;0;211;10;1;1;2;3;287;5;0;60;1;5;1;30-06-2009;1;1;5;5;0;4;2;"A";;0;0;0;2;0,8;648;747486,561;5114280,617
1;50;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici; sono stati ricoperti con altro pavimento";1;2,5;2,5;1;5;0;400;10;1;1;2;5;3000;5;0;0;1;5;1;;1;1;20;5;0;4;2;"B";"B";20000;0;0;5;0,3;268,2;752961,273;5119712,627
1;51;"BELLUNO";"BELLUNO";2;"Ospedali e case di cura";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;4855;1;1;1;2;5;1714;8;0;1307;1;5;1;;1;1;20;5;0;4;2;"A";;134000;0;0;2;0,8;865,2;702043,19;5045978,403
1;52;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;1;5;0;482;10;1;1;2;5;720;5;0;138;1;5;1;;1;1;20;5;0;4;2;"B";"B";14200;0;0;5;0,3;268,2;715425,981;5006320,539
1;53;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;3252;1;1;1;2;5;1839;8;0;929;1;5;1;;1;1;20;5;0;4;2;"B";"B";89700;0;0;2;0,8;865,2;699369,1;5047169,611
1;54;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;1852;10;1;1;2;5;999;8;0;529;1;5;1;;1;1;20;5;0;4;2;"B";"B";51600;0;0;2;0,8;940,8;720962,779;5077829,587
1;55;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;1;2,5;2,5;10;0;5882;10;1;5;2;9;24146;5;0;346;1;5;1;;1;1;20;5;0;4;2;"A";;15900;0;0;3;0,7;680,4;748468,159;5114432,825
1;56;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;1;10;0;532;10;1;1;2;5;590;5;0;152;1;5;1;;1;1;20;5;0;4;2;"B";"B";15450;0;0;5;0,3;283,95;748358,042;5115019,844
1;57;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"rivestimento travi";1;2,5;2,5;2,5;10;0;1360;1;1;1;2;3;410;5;0;80;1;5;1;;1;1;20;5;0;4;10;"A";"A";6950;0;0;2;0,8;908,4;746035,566;5112946,49
1;58;"BELLUNO";"BELLUNO";2;"Cinema, teatri, sale convegno";"Pavimenti vinilici";1;2,5;2,5;1;5;0;420;10;1;1;2;3;480;5;0;120;1;5;1;;1;1;20;5;0;4;10;"A";"B";12400;0;0;5;0,3;300,6;703894,185;4997478,472
1;59;"BELLUNO";"BELLUNO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;2550;10;1;5;2;9;0;5;0;150;1;5;1;;1;1;20;1;5;2;2;"A";;7275;0;0;2;0,8;770,4;699436,325;5018867,205
1;60;"BELLUNO";"BELLUNO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate; cappotto esterno";1;2,5;2,5;2,5;15;0;22950;1;1;5;2;5;935;8;0;1350;1;5;1;;1;1;20;5;0;4;10;"A";;80650;0;0;2;0,8;1069,2;678916,153;5025282,302
1;61;"BELLUNO";"PONTE NELLE ALPI";2;"Uffici pubblica amministrazione";"Tubi, canalizzazioni e contenitori per trasporto e stoccaggio fluidi, ad uso civile e industriale (materiale coibente); Pavimenti vinilici";1;2,5;2,5;2,5;10;0;2900;1;1;1;2;5;1350;8;0;780;1;5;1;;1;1;20;5;0;4;2;"A";;33000;0;0;2;0,8;865,2;722992,259;5052170,575
1;62;"BELLUNO";"PONTE NELLE ALPI";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;715;10;1;1;2;3;237;5;0;204;1;5;1;;1;1;10;5;0;4;10;"A";;8500;0;0;2;0,8;864;722437,822;5055339,657
1;63;"BELLUNO";"PONTE NELLE ALPI";2;"Edifici residenziali";"Pavimenti vinilici";1;1;1;2,5;5;0;291;10;3;1;2;3;230;5;0;83;1;5;1;30-06-2012;1;1;5;5;0;4;2;"A";;4000;0;0;4;0,4;336;663885,117;5031965,662
1;64;"BELLUNO";"PONTE NELLE ALPI";2;"Edifici residenziali";"Pavimenti vinilici";1;1;1;2,5;5;0;284;10;3;1;2;3;236;5;0;81;1;5;1;31-07-2012;1;1;5;5;0;4;2;"A";;4500;0;0;4;0,4;336;663601,906;5031937,389
1;65;"BELLUNO";"PONTE NELLE ALPI";2;"Edifici residenziali";"Pavimenti vinilici";1;1;2,5;2,5;5;0;165;10;1;1;2;3;100;5;0;47;1;5;1;;1;1;20;5;0;4;2;"A";;2500;0;0;3;0,7;554,4;717879,441;5034323,87
1;66;"BELLUNO";"PONTE NELLE ALPI";2;"Edifici artigianali e loro pertinenze";"Lastre di amianto piane o ondulate; Tubi, canalizzazioni e contenitori per trasporto e stoccaggio fluidi, ad uso civile e industriale (materiale coibente)";1;1;2,5;2,5;15;;25500;10;1;1;2;5;4600;8;0;1500;1;30;1;;1;1;20;5;0;4;10;"A";;30000;0;0;3;0,7;938,7;754847,768;5118704,524
1;67;"BELLUNO";"TAMBRE";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;1;10;0;800;10;1;1;2;3;300;5;0;220;1;5;1;;1;1;20;5;0;4;10;"A";;30000;0;0;5;0,3;316,35;764448,589;5113959,166
1;68;"BELLUNO";"CASTELLAVAZZO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;;5000;10;1;1;2;3;;5;;450;1;5;1;;1;1;20;5;0;2;10;"A";"C";50000;0;50000;2;0,8;864;754790,003;5131907,814
1;69;"BELLUNO";"LONGARONE";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;2,5;5;;210;1;1;1;2;3;65;5;;65;1;5;0;;1;1;20;5;0;4;2;"A";"B";55000;0;0;2;0,8;744;754277,219;5129374,319
1;70;"BELLUNO";"LONGARONE";2;"Edifici residenziali";"Pavimenti vinilici";1;2,5;2,5;2,5;10;0;2000;1;1;1;2;5;625;8;0;625;1;5;0;;1;1;20;5;0;4;2;"A";"B";53000;0;0;2;0,8;856,8;754326,43;5128748,989
1;71;"BELLUNO";"CIBIANA DI CADORE";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;1;1;5;;450;10;1;1;2;3;;5;;128;1;5;0;;1;1;10;5;0;4;10;"B";"AB";15000;0;15000;5;0,3;195,75;752994,421;5142875,831
1;72;"BELLUNO";"FORNO DI ZOLDO";2;"Scuole di ogni ordine e grado";"Pavimenti vinilici";1;2,5;2,5;1;10;0;840;1;1;1;2;3;240;5;0;240;1;5;0;;1;1;20;5;0;4;10;"B";;0;0;0;5;0,3;284,85;741893,211;5138329,758
2;73;"BELLUNO";"32028 TRICHIANA";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;15;;11900;1;1;1;2;5;2500;8;;700;1;5;1;;1;1;5;3;1;4;2;"B";;5600;;;4;0,4;209,40;279124,304;5107215,971
2;74;"BELLUNO";"32036 SEDICO";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;2,5;2,5;2,5;15;;200600;1;1;1;2;9;7000;10;;11800;1;5;1;;1;1;5;1;2;2;2;"B";;94400;;;4;0,4;293,40;275791,05;5109591,57
2;75;"BELLUNO";"32026 MEL";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;15;;17000;1;1;1;2;5;7500;8;;1000;1;5;1;;1;1;5;3;4;2;2;"B";;8000;;;4;0,4;184,20;272602,21;5103648,4
2;76;"BELLUNO";"32026 MEL";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"RIVESTIMENTO TUBAZIONI";1;1;1;2,5;15;;;1;1;1;2;5;7500;8;;"320 m lineari";1;5;1;;1;1;5;3;4;2;2;"B";;"#VALORE!";;;4;0,4;184,20;272602,21;5103648,4
2;77;"BELLUNO";"32036 SEDICO";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;15;;20400;1;1;1;2;9;2500;8;;1200;1;5;1;;1;1;5;1;2;2;2;"A";;9600;;;4;0,4;184,20;277010,02;511048,45
2;78;"BELLUNO";"32026 MEL";2;"EDIFICI AGRICOLI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";2;1;1;2,5;10;;42500;10;1;1;1;5;5000;8;;2500;1;30;1;;3;1;5;1;4;2;2;"A";;20000;;;4;0,4;169,60;272977,35;5104982,06
2;79;"BELLUNO";"32031 ALANO DI PIAVE";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;1;10;;5100;1;1;1;2;3;1000;5;;300;1;5;1;;1;1;5;1;3;2;2;"B";;2400;;;4;0,4;87,60;725682,18;5087696,66
2;80;"BELLUNO";"32036 SEDICO";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;1;10;;125800;1;1;1;2;9;8000;8;;7400;1;5;1;;1;1;5;1;4;2;2;"B";;59200;;;4;0,4;109,20;275232,26;5109130,78
2;81;"BELLUNO";"32036 SEDICO";2;"EDIFICI ARTIGIANALE E DI SERVIZIO";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;5;;2040;10;1;1;2;5;2500;5;;120;1;5;1;;1;1;5;1;2;4;2;"A";;960;;;4;0,4;142,80;275550,86;5110012,26
2;82;"BELLUNO";"32037 SEDICO";3;"EDIFICI ARTIGIANALE E DI SERVIZIO";"GUARNIZIONI";1;1;1;2,5;;;;10;1;1;2;5;2500;;;"6 m lineari";1;5;1;;1;1;5;1;2;4;2;"A";;"#VALORE!";;;4;0,4;100,80;275550,86;5110012,26
2;83;"BELLUNO";"32032 FELTRE";1;"EDIFICI INDUSTRIALI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;15;;28900;10;1;1;2;5;4000;8;;1700;1;5;1;;1;1;5;1;1,5;2;2;"A";;13600;;;4;0,4;189,00;723429,95;5099446,11
2;84;"BELLUNO";"32030 VAS";1;"EDIFICI AGRICOLI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;10;;"#VALORE!";1;1;1;2;5;4000;8;;"rimosso";1;5;1;;1;1;5;1;2;2;2;"A";;"#VALORE!";;;4;0,4;146,40;727643,44;5091386,96
2;85;"BELLUNO";"32032 FELTRE";2;"EDIFICI AGRICOLI E LORO PERTINENZE";"LASTRE DI AMIANTO ONDULATE";1;1;1;2,5;10;;6613;1;1;1;2;3;2800;5;;389;1;5;1;;1;1;5;1;1;2;2;"A";;3112;;;5;0,3;94,05;727090,67;5102683,65
